,title,writer,main_idea,genre,category,short_description
0,تسلی‌بخشی‌های فلسفه,آلن دو باتن,استفاده از فلسفه برای تسلی‌بخشی در مواجهه با مشکلات زندگی,فلسفه,غیرداستانی,این کتاب به بررسی چگونگی استفاده از آموزه‌های فیلسوفان بزرگ برای مواجهه با مشکلات و چالش‌های زندگی روزمره می‌پردازد.
1,هنر سیر و سفر,آلن دو باتن,بررسی فلسفی و روانشناختی تجربه سفر,فلسفه,غیرداستانی,آلن دو باتن در این کتاب به تحلیل و بررسی تجربه سفر از دیدگاه فلسفی و روانشناختی می‌پردازد و نشان می‌دهد که چگونه سفر می‌تواند به رشد فردی و شناخت بهتر از خود و جهان کمک کند.
2,پروژه شادی,آلن دو باتن,جستجوی شادی و رضایت در زندگی روزمره,فلسفه,غیرداستانی,این کتاب به بررسی مفهوم شادی و راه‌های دستیابی به آن در زندگی روزمره می‌پردازد و از دیدگاه‌های مختلف فلسفی و روانشناختی برای ارائه راهکارهای عملی استفاده می‌کند.
3,وقتی نیچه گریست,اروین یالوم,بررسی روانشناسی و فلسفه از طریق داستانی تخیلی,رمان,روانشناسی، فلسفه,این کتاب داستانی تخیلی از ملاقات بین دکتر بروئر و فردریش نیچه است که در آن به بررسی مسائل روانشناسی و فلسفی پرداخته می‌شود.
4,درمان شوپنهاور,اروین یالوم,ترکیب فلسفه شوپنهاور با روان‌درمانی,رمان,روانشناسی، فلسفه,این کتاب داستانی درباره یک روان‌درمانگر است که با استفاده از فلسفه شوپنهاور به درمان بیماران خود می‌پردازد.
5,مسئله اسپینوزا,اروین یالوم,بررسی زندگی و فلسفه باروخ اسپینوزا,رمان,روانشناسی، فلسفه,این کتاب به بررسی زندگی و فلسفه باروخ اسپینوزا و تأثیر آن بر روانشناسی و فلسفه مدرن می‌پردازد.
6,کیمیاگر,پائولو کوئیلو,دنبال کردن رویاها و یافتن گنج درونی,رمان,ادبیات داستانی,داستان چوپانی به نام سانتیاگو که به دنبال گنجی در مصر می‌رود و در این مسیر به کشف خود و معنای زندگی می‌پردازد.
7,ورونیکا تصمیم می‌گیرد بمیرد,پائولو کوئیلو,ارزش زندگی و یافتن معنا در لحظات سخت,رمان,ادبیات داستانی,ورونیکا، دختری جوان که پس از تلاش برای خودکشی در بیمارستان روانی بستری می‌شود و در آنجا با افراد مختلفی آشنا می‌شود که به او کمک می‌کنند تا معنای واقعی زندگی را بیابد.
8,بریدا,پائولو کوئیلو,جستجوی معنویت و کشف خود,رمان,ادبیات داستانی,داستان دختری به نام بریدا که به دنبال کشف معنویت و جادوگری است و در این مسیر با استادان مختلفی آشنا می‌شود که به او در یافتن راهش کمک می‌کنند.
9,غرور و تعصب,جین آستن,تضاد بین غرور و تعصب در روابط انسانی,رمان عاشقانه,ادبیات کلاسیک,این کتاب داستان عشق و سوءتفاهم بین الیزابت بنت و آقای دارسی را روایت می‌کند که در نهایت به درک و احترام متقابل می‌انجامد.
10,عقل و احساس,جین آستن,تضاد بین عقل و احساس در تصمیم‌گیری‌های زندگی,رمان عاشقانه,ادبیات کلاسیک,این کتاب داستان دو خواهر، الینور و ماریان دشوود، را روایت می‌کند که هر یک به شیوه‌ای متفاوت با عشق و مشکلات زندگی روبرو می‌شوند.
11,اما,جین آستن,تأثیر دخالت‌های نادرست در زندگی دیگران,رمان عاشقانه,ادبیات کلاسیک,این کتاب داستان اما وودهاوس، دختری جوان و ثروتمند، را روایت می‌کند که با دخالت‌های نادرست خود در زندگی دیگران، مشکلاتی را ایجاد می‌کند و در نهایت به درک بهتری از خود و دیگران می‌رسد.
12,در جستجوی زمان از دست رفته,مارسل پروست,کاوش در خاطرات و تاثیر زمان بر زندگی انسان,رمان,ادبیات کلاسیک,این مجموعه رمان هفت جلدی به بررسی خاطرات و تجربیات نویسنده از دوران کودکی تا بزرگسالی می‌پردازد و تاثیر زمان و حافظه بر زندگی انسان را به تصویر می‌کشد.
